year,international,financial_aid,enroll,allowed_return,petition,on_campus,location_off_campus,semesters_off,semester_off_plans,enroll_percent_1,enroll_percent_2,on_campus_percent_1,opinion_eligibility,opinion_precautions,percent_infected_1,address_concerns_1,address_concerns_2,address_concerns_3,address_concerns_4,address_concerns_5,address_concerns_6,support_financial_ai,rating_overall_1,other_school,other_school_23_TEXT
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,70,78,31,Don't know enough to say,Just right,32,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Don't know enough to say,
2021,No,No,Somewhat likely,Somewhat unlikely,Yes,,Living with Harvard friends,Fall and Spring,Research,75,60,30,Allows too few students back on campus,Too many precautionary measures taken,19,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Policy is not individualized enough,3,Other (please specify),Columbia
2024,No,Yes,Extremely likely,,,Extremely likely,,,,72,90,51,Just right,Just right,15,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Not enough money provided to off-campus students,7,Stanford,
2021,No,No,Somewhat unlikely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Research,85,70,35,Just right,Just right,8,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,6,Don't know enough to say,
2022,No,Yes,Somewhat likely,Somewhat unlikely,No,,Living with Harvard friends,,,71,61,43,Allows too few students back on campus,Just right,40,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Other (please specify),Brown
2021,No,No,Somewhat unlikely,Somewhat unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,60,35,Allows too few students back on campus,Too many precautionary measures taken,30,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Don't know enough to say,
2023,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,Fall only,Internship/Industry Work,62,85,38,Don't know enough to say,Don't know enough to say,1,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Very poorly ,Somewhat well,,5,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Somewhat unlikely,,,,85,85,40,"Number is just right, but it should be a different cohort in the Fall",Just right,40,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat well,Agree with the policy,5,Don't know enough to say,
2022,No,Yes,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Volunteering,55,40,24,Don't know enough to say,Don't know enough to say,15,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,5,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,90,85,36,Allows too few students back on campus,Too many precautionary measures taken,11,Somewhat well,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,5,Duke,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,72,78,50,Allows too few students back on campus,Too many precautionary measures taken,10,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,5,MIT,
2023,No,Yes,Somewhat likely,Extremely unlikely,No,,Family Home,"Fall, and maybe Spring depending on policy",Internship/Industry Work,80,75,40,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,5,,,,,,,,,Stanford,
2024,No,Yes,Somewhat unlikely,,,Somewhat unlikely,,Fall and Spring,Other,60,70,51,Allows too few students back on campus,Don't know enough to say,20,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",3,Don't know enough to say,
2024,Yes,Yes,Extremely likely,,,Extremely unlikely,,,,80,75,20,Allows too few students back on campus,Don't know enough to say,25,Somewhat well,Somewhat well,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Agree with the policy,2,Yale,
2021,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,79,87,50,Allows too few students back on campus,Don't know enough to say,11,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,7,Don't know enough to say,
2024,Yes,No,Extremely unlikely,,,,,Fall and Spring,Volunteering,55,60,30,Don't know enough to say,Too many precautionary measures taken,91,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Not enough money provided to off-campus students,3,Princeton,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,90,81,20,Allows too few students back on campus,Don't know enough to say,36,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,6,Princeton,
2022,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,75,70,35,Just right,Don't know enough to say,10,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,6,Princeton,
2022,No,No,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,Fall only,Research,80,82,30,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,40,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,4,Northeastern,
2021,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Research,60,50,65,Allows too few students back on campus,Just right,10,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough,Agree with the policy",3,MIT,
2023,No,No,Somewhat likely,Extremely unlikely,No,,Family Home,Fall only,Internship/Industry Work,75,65,45,"Number is just right, but it should be a different cohort in the Fall",Just right,30,Somewhat well,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,5,Princeton,
2023,No,Yes,Somewhat likely,Extremely unlikely,Yes,,Family Home,"Fall, and maybe Spring depending on policy",Chill at home,80,70,45,Allows too few students back on campus,Too many precautionary measures taken,30,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Policy is not individualized enough,2,Yale,
2023,No,Yes,Extremely likely,,No,,Family Home,,,,,,"Number is just right, but it should be a different cohort in the Fall",Just right,,,,,,,,,,Yale,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,88,84,27,Just right,Just right,28,Somewhat poorly ,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",7,Don't know enough to say,
2024,No,No,Extremely likely,,,Somewhat likely,,,,55,65,60,Allows too few students back on campus,Too many precautionary measures taken,5,Somewhat well,Somewhat poorly ,Somewhat poorly ,Very poorly ,Somewhat poorly ,Somewhat poorly ,Not enough money provided to off-campus students,5,Stanford,
2021,No,Yes,Extremely likely,Somewhat likely,No,Somewhat unlikely,Family Home,,,65,80,30,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,11,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Policy is not individualized enough,2,MIT,
2021,No,No,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,75,75,35,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,22,,,,,,,Policy is not individualized enough,4,Don't know enough to say,
2024,No,No,Extremely likely,,,Somewhat unlikely,,,,91,80,40,Just right,Don't know enough to say,10,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat well,Not enough money provided to off-campus students,9,Don't know enough to say,
2022,No,Yes,Somewhat likely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,50,55,Allows too few students back on campus,Just right,10,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very well,Not enough money provided to off-campus students,6,Yale,
2022,No,No,Somewhat unlikely,Extremely unlikely,No,,Living with Harvard friends,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,65,32,Allows too few students back on campus,Just right,4,Very well,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Princeton,
2023,No,Yes,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,60,40,40,Just right,Just right,6,Very poorly ,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Somewhat well,Agree with the policy,8,Don't know enough to say,
2021,No,No,Extremely unlikely,,,,,Fall and Spring,Internship/Industry Work,70,50,80,Allows too few students back on campus,Too few precautionary measures taken,100,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Yale,
2022,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Chill at home,85,75,35,Allows too few students back on campus,Too many precautionary measures taken,3,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",2,Yale,
2021,No,No,Extremely likely,Extremely unlikely,Yes,,Family Home,,,70,80,40,Just right,Just right,5,Somewhat poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Policy is not individualized enough,Agree with the policy",7,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,90,90,75,Just right,Just right,40,Somewhat poorly ,Somewhat poorly ,Somewhat well,Somewhat well,Somewhat well,Very well,Agree with the policy,9,Don't know enough to say,
2023,No,No,Extremely likely,Extremely unlikely,No,,Family Home,,,68,70,50,Don't know enough to say,Don't know enough to say,14,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,,5,Don't know enough to say,
2023,No,No,Somewhat likely,Somewhat likely,Yes,Somewhat likely,Living with Harvard friends,Fall and Spring,Internship/Industry Work,20,30,30,Allows too few students back on campus,Just right,5,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Policy is not individualized enough,Agree with the policy",3,Other (please specify),UCLA
2021,No,No,Extremely likely,Extremely unlikely,No,,Living with Harvard friends,,,55,75,20,Allows too few students back on campus,Too many precautionary measures taken,50,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat well,Policy is not individualized enough,2,Other (please specify),Brown and Columbia!!
2021,No,No,Extremely unlikely,,,,,Fall only,Volunteering,79,60,46,Allows too few students back on campus,Too many precautionary measures taken,20,Somewhat poorly ,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very well,Agree with the policy,3,Other (please specify),Brown
2023,No,No,Extremely unlikely,,,,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,70,64,32,Allows too few students back on campus,Too many precautionary measures taken,4,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,Policy is not individualized enough,1,Duke,
2023,No,Yes,Somewhat likely,Extremely unlikely,No,,Other,"Fall, and maybe Spring depending on policy",Volunteering,62,50,25,"Number is just right, but it should be a different cohort in the Fall",Just right,15,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",1,Stanford,
2024,No,Yes,Somewhat likely,,,Somewhat likely,,"Fall, and maybe Spring depending on policy",Internship/Industry Work,75,60,30,Allows too few students back on campus,Just right,20,Somewhat poorly ,Somewhat poorly ,Somewhat well,Very poorly ,Somewhat poorly ,Somewhat well,Agree with the policy,8,Don't know enough to say,
2021,No,Yes,Extremely likely,Somewhat unlikely,Yes,,Family Home,,,65,85,65,"Number is just right, but it should be a different cohort in the Fall",Too many precautionary measures taken,2,Very poorly ,Very poorly ,Very well,Very poorly ,Very poorly ,Very poorly ,Not enough money provided to off-campus students,2,Don't know enough to say,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,70,69,77,Allows too few students back on campus,Just right,4,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,"Not enough money provided to off-campus students,Policy is not individualized enough",4,Don't know enough to say,
2021,No,No,Extremely unlikely,,,,,Fall only,Internship/Industry Work,69,48,52,Just right,Just right,29,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Somewhat poorly ,Not enough money provided to off-campus students,6,Don't know enough to say,
2021,No,No,Extremely likely,Somewhat unlikely,Yes,,Living with Harvard friends,,,60,78,60,Allows too few students back on campus,Too many precautionary measures taken,19,Very poorly ,Somewhat poorly ,Very poorly ,Very poorly ,Very poorly ,Somewhat poorly ,,3,Cornell,
2024,No,Yes,Extremely likely,,,Extremely likely,,,,40,85,95,Don't know enough to say,Don't know enough to say,,Somewhat well,Somewhat well,Somewhat well,Somewhat poorly ,Somewhat poorly ,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",8,Don't know enough to say,
2023,No,Yes,Extremely likely,Extremely unlikely,No,,Family Home,,,75,70,35,Just right,Too few precautionary measures taken,10,Very poorly ,Very well,Somewhat well,Very poorly ,Somewhat well,Somewhat well,"Not enough money provided to off-campus students,Policy is not individualized enough",5,Don't know enough to say,
